vest_ID,election_ID
013-DO??A ANA COUNTY PRECINCT 001,013-DONA ANA COUNTY PRECINCT 001
013-DO??A ANA COUNTY PRECINCT 002,013-DONA ANA COUNTY PRECINCT 002
013-DO??A ANA COUNTY PRECINCT 003,013-DONA ANA COUNTY PRECINCT 003
013-DO??A ANA COUNTY PRECINCT 004,013-DONA ANA COUNTY PRECINCT 004
013-DO??A ANA COUNTY PRECINCT 005,013-DONA ANA COUNTY PRECINCT 005
013-DO??A ANA COUNTY PRECINCT 006,013-DONA ANA COUNTY PRECINCT 006
013-DO??A ANA COUNTY PRECINCT 007,013-DONA ANA COUNTY PRECINCT 007
013-DO??A ANA COUNTY PRECINCT 008,013-DONA ANA COUNTY PRECINCT 008
013-DO??A ANA COUNTY PRECINCT 009,013-DONA ANA COUNTY PRECINCT 009
013-DO??A ANA COUNTY PRECINCT 010,013-DONA ANA COUNTY PRECINCT 010
013-DO??A ANA COUNTY PRECINCT 011,013-DONA ANA COUNTY PRECINCT 011
013-DO??A ANA COUNTY PRECINCT 012,013-DONA ANA COUNTY PRECINCT 012
013-DO??A ANA COUNTY PRECINCT 013,013-DONA ANA COUNTY PRECINCT 013
013-DO??A ANA COUNTY PRECINCT 014,013-DONA ANA COUNTY PRECINCT 014
013-DO??A ANA COUNTY PRECINCT 015,013-DONA ANA COUNTY PRECINCT 015
013-DO??A ANA COUNTY PRECINCT 016,013-DONA ANA COUNTY PRECINCT 016
013-DO??A ANA COUNTY PRECINCT 017,013-DONA ANA COUNTY PRECINCT 017
013-DO??A ANA COUNTY PRECINCT 018,013-DONA ANA COUNTY PRECINCT 018
013-DO??A ANA COUNTY PRECINCT 019,013-DONA ANA COUNTY PRECINCT 019
013-DO??A ANA COUNTY PRECINCT 020,013-DONA ANA COUNTY PRECINCT 020
013-DO??A ANA COUNTY PRECINCT 021,013-DONA ANA COUNTY PRECINCT 021
013-DO??A ANA COUNTY PRECINCT 022,013-DONA ANA COUNTY PRECINCT 022
013-DO??A ANA COUNTY PRECINCT 023,013-DONA ANA COUNTY PRECINCT 023
013-DO??A ANA COUNTY PRECINCT 024,013-DONA ANA COUNTY PRECINCT 024
013-DO??A ANA COUNTY PRECINCT 025,013-DONA ANA COUNTY PRECINCT 025
013-DO??A ANA COUNTY PRECINCT 026,013-DONA ANA COUNTY PRECINCT 026
013-DO??A ANA COUNTY PRECINCT 027,013-DONA ANA COUNTY PRECINCT 027
013-DO??A ANA COUNTY PRECINCT 028,013-DONA ANA COUNTY PRECINCT 028
013-DO??A ANA COUNTY PRECINCT 029,013-DONA ANA COUNTY PRECINCT 029
013-DO??A ANA COUNTY PRECINCT 030,013-DONA ANA COUNTY PRECINCT 030
013-DO??A ANA COUNTY PRECINCT 031,013-DONA ANA COUNTY PRECINCT 031
013-DO??A ANA COUNTY PRECINCT 032,013-DONA ANA COUNTY PRECINCT 032
013-DO??A ANA COUNTY PRECINCT 033,013-DONA ANA COUNTY PRECINCT 033
013-DO??A ANA COUNTY PRECINCT 034,013-DONA ANA COUNTY PRECINCT 034
013-DO??A ANA COUNTY PRECINCT 035,013-DONA ANA COUNTY PRECINCT 035
013-DO??A ANA COUNTY PRECINCT 036,013-DONA ANA COUNTY PRECINCT 036
013-DO??A ANA COUNTY PRECINCT 037,013-DONA ANA COUNTY PRECINCT 037
013-DO??A ANA COUNTY PRECINCT 038,013-DONA ANA COUNTY PRECINCT 038
013-DO??A ANA COUNTY PRECINCT 039,013-DONA ANA COUNTY PRECINCT 039
013-DO??A ANA COUNTY PRECINCT 040,013-DONA ANA COUNTY PRECINCT 040
013-DO??A ANA COUNTY PRECINCT 041,013-DONA ANA COUNTY PRECINCT 041
013-DO??A ANA COUNTY PRECINCT 042,013-DONA ANA COUNTY PRECINCT 042
013-DO??A ANA COUNTY PRECINCT 043,013-DONA ANA COUNTY PRECINCT 043
013-DO??A ANA COUNTY PRECINCT 044,013-DONA ANA COUNTY PRECINCT 044
013-DO??A ANA COUNTY PRECINCT 045,013-DONA ANA COUNTY PRECINCT 045
013-DO??A ANA COUNTY PRECINCT 046,013-DONA ANA COUNTY PRECINCT 046
013-DO??A ANA COUNTY PRECINCT 047,013-DONA ANA COUNTY PRECINCT 047
013-DO??A ANA COUNTY PRECINCT 048,013-DONA ANA COUNTY PRECINCT 048
013-DO??A ANA COUNTY PRECINCT 049,013-DONA ANA COUNTY PRECINCT 049
013-DO??A ANA COUNTY PRECINCT 050,013-DONA ANA COUNTY PRECINCT 050
013-DO??A ANA COUNTY PRECINCT 051,013-DONA ANA COUNTY PRECINCT 051
013-DO??A ANA COUNTY PRECINCT 052,013-DONA ANA COUNTY PRECINCT 052
013-DO??A ANA COUNTY PRECINCT 053,013-DONA ANA COUNTY PRECINCT 053
013-DO??A ANA COUNTY PRECINCT 054,013-DONA ANA COUNTY PRECINCT 054
013-DO??A ANA COUNTY PRECINCT 055,013-DONA ANA COUNTY PRECINCT 055
013-DO??A ANA COUNTY PRECINCT 056,013-DONA ANA COUNTY PRECINCT 056
013-DO??A ANA COUNTY PRECINCT 057,013-DONA ANA COUNTY PRECINCT 057
013-DO??A ANA COUNTY PRECINCT 058,013-DONA ANA COUNTY PRECINCT 058
