,County,Precinct,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREIMCM,G16PRECCAS,G16PRESLAR,G16PREAROC,G16SOSRESP,G16SOSDOLI,G16SSCRNAK,G16SSCDVIG,G16SACRFRE,G16SACDVAR,COUNTYFP
0,Bernalillo,Precinct 001,311,346,61,9,6,0,0,0,299,389,391,302,348,336,001
1,Bernalillo,Precinct 002,270,288,52,0,11,0,0,0,275,330,387,215,329,259,001
2,Bernalillo,Precinct 003,352,381,86,20,9,0,0,0,363,451,492,328,428,384,001
3,Bernalillo,Precinct 004,202,290,66,7,7,0,0,0,219,342,337,216,296,250,001
4,Bernalillo,Precinct 005,183,302,35,0,0,0,0,0,173,338,287,222,224,276,001
5,Bernalillo,Precinct 006,377,508,101,8,11,0,0,0,398,589,601,371,467,481,001
6,Bernalillo,Precinct 007,389,574,110,8,0,0,0,0,371,670,562,478,457,565,001
7,Bernalillo,Precinct 008,110,170,42,0,0,0,0,0,108,212,172,141,131,178,001
8,Bernalillo,Precinct 009,192,250,66,0,0,0,0,0,193,299,260,234,217,268,001
9,Bernalillo,Precinct 010,223,287,78,9,0,0,0,0,232,347,309,268,270,297,001
10,Bernalillo,Precinct 011,201,495,84,9,0,0,0,0,202,555,360,394,265,475,001
11,Bernalillo,Precinct 012,184,394,51,9,0,0,0,0,177,450,310,315,238,382,001
12,Bernalillo,Precinct 013,166,348,89,0,0,0,0,0,199,379,332,255,273,299,001
13,Bernalillo,Precinct 014,186,317,68,12,0,0,0,0,198,359,269,280,215,335,001
14,Bernalillo,Precinct 015,246,340,75,8,0,0,0,0,238,411,383,261,295,331,001
15,Bernalillo,Precinct 016,148,246,57,9,0,0,0,0,150,291,228,209,155,275,001
16,Bernalillo,Precinct 017,246,422,95,12,0,0,0,0,221,538,383,368,297,436,001
17,Bernalillo,Precinct 018,217,415,53,6,0,0,0,0,212,451,354,305,269,395,001
18,Bernalillo,Precinct 019,604,565,144,12,14,0,0,0,609,675,812,466,726,536,001
19,Bernalillo,Precinct 020,381,486,89,11,14,0,0,0,391,554,553,386,451,484,001
20,Bernalillo,Precinct 021,506,653,134,13,11,6,0,0,501,772,754,508,585,657,001
21,Bernalillo,Precinct 022,278,317,93,10,12,0,0,0,293,384,436,240,355,306,001
22,Bernalillo,Precinct 023,353,453,107,11,0,0,0,0,332,564,527,360,399,473,001
23,Bernalillo,Precinct 024,498,653,158,11,8,0,0,0,514,775,743,534,594,657,001
24,Bernalillo,Precinct 025,471,574,125,7,10,0,0,0,487,661,686,448,569,552,001
25,Bernalillo,Precinct 026,327,551,123,13,7,0,0,0,341,625,478,474,378,560,001
26,Bernalillo,Precinct 027,157,361,73,9,0,0,0,0,180,400,266,302,202,366,001
27,Bernalillo,Precinct 028,129,258,57,7,0,0,0,0,133,305,213,222,153,275,001
28,Bernalillo,Precinct 029,207,356,73,7,0,0,0,0,220,398,311,298,237,369,001
29,Bernalillo,Precinct 030,624,870,148,25,8,0,0,0,647,989,977,640,791,816,001
30,Bernalillo,Precinct 031,64,346,55,13,0,0,0,0,93,339,134,262,93,309,001
31,Bernalillo,Precinct 032,145,381,70,8,0,0,0,0,172,413,230,339,159,408,001
32,Bernalillo,Precinct 033,143,503,73,0,0,0,0,0,155,547,226,459,152,531,001
33,Bernalillo,Precinct 034,88,219,30,0,0,0,0,0,99,230,139,187,103,218,001
34,Bernalillo,Precinct 035,104,215,37,9,0,0,0,0,117,235,163,186,122,228,001
35,Bernalillo,Precinct 036,104,319,40,9,0,0,0,0,107,350,162,293,108,342,001
36,Bernalillo,Precinct 037,220,447,67,0,0,0,0,0,220,489,354,347,241,446,001
37,Bernalillo,Precinct 038,220,527,96,9,0,0,0,0,233,594,364,455,246,565,001
38,Bernalillo,Precinct 039,214,441,86,9,0,0,0,0,200,527,337,375,257,453,001
39,Bernalillo,Precinct 040,151,324,53,0,0,0,0,0,146,362,188,313,145,357,001
40,Bernalillo,Precinct 041,231,509,91,6,0,0,0,0,276,534,332,458,256,536,001
41,Bernalillo,Precinct 042,123,273,63,6,0,0,0,0,118,328,175,266,133,308,001
42,Bernalillo,Precinct 043,167,389,55,0,0,0,0,0,187,401,245,340,180,397,001
43,Bernalillo,Precinct 044,233,511,86,11,0,0,0,0,233,559,327,457,240,524,001
44,Bernalillo,Precinct 045,119,228,44,0,0,0,0,0,119,252,150,214,104,259,001
45,Bernalillo,Precinct 046,177,411,56,14,0,0,0,0,173,456,245,380,155,458,001
