,join_col
587,013-DOÑA ANA COUNTY PRECINCT 001
588,013-DOÑA ANA COUNTY PRECINCT 002
589,013-DOÑA ANA COUNTY PRECINCT 003
590,013-DOÑA ANA COUNTY PRECINCT 004
591,013-DOÑA ANA COUNTY PRECINCT 005
592,013-DOÑA ANA COUNTY PRECINCT 006
593,013-DOÑA ANA COUNTY PRECINCT 007
594,013-DOÑA ANA COUNTY PRECINCT 008
595,013-DOÑA ANA COUNTY PRECINCT 009
596,013-DOÑA ANA COUNTY PRECINCT 010
597,013-DOÑA ANA COUNTY PRECINCT 011
598,013-DOÑA ANA COUNTY PRECINCT 012
599,013-DOÑA ANA COUNTY PRECINCT 013
600,013-DOÑA ANA COUNTY PRECINCT 014
601,013-DOÑA ANA COUNTY PRECINCT 015
602,013-DOÑA ANA COUNTY PRECINCT 016
603,013-DOÑA ANA COUNTY PRECINCT 017
604,013-DOÑA ANA COUNTY PRECINCT 018
605,013-DOÑA ANA COUNTY PRECINCT 019
606,013-DOÑA ANA COUNTY PRECINCT 020
607,013-DOÑA ANA COUNTY PRECINCT 021
608,013-DOÑA ANA COUNTY PRECINCT 022
609,013-DOÑA ANA COUNTY PRECINCT 023
610,013-DOÑA ANA COUNTY PRECINCT 024
611,013-DOÑA ANA COUNTY PRECINCT 025
612,013-DOÑA ANA COUNTY PRECINCT 026
613,013-DOÑA ANA COUNTY PRECINCT 027
614,013-DOÑA ANA COUNTY PRECINCT 028
615,013-DOÑA ANA COUNTY PRECINCT 029
616,013-DOÑA ANA COUNTY PRECINCT 030
617,013-DOÑA ANA COUNTY PRECINCT 031
618,013-DOÑA ANA COUNTY PRECINCT 032
619,013-DOÑA ANA COUNTY PRECINCT 033
620,013-DOÑA ANA COUNTY PRECINCT 034
621,013-DOÑA ANA COUNTY PRECINCT 035
622,013-DOÑA ANA COUNTY PRECINCT 036
623,013-DOÑA ANA COUNTY PRECINCT 037
624,013-DOÑA ANA COUNTY PRECINCT 038
625,013-DOÑA ANA COUNTY PRECINCT 039
626,013-DOÑA ANA COUNTY PRECINCT 040
627,013-DOÑA ANA COUNTY PRECINCT 041
628,013-DOÑA ANA COUNTY PRECINCT 042
629,013-DOÑA ANA COUNTY PRECINCT 043
630,013-DOÑA ANA COUNTY PRECINCT 044
631,013-DOÑA ANA COUNTY PRECINCT 045
632,013-DOÑA ANA COUNTY PRECINCT 046
633,013-DOÑA ANA COUNTY PRECINCT 047
634,013-DOÑA ANA COUNTY PRECINCT 048
635,013-DOÑA ANA COUNTY PRECINCT 049
636,013-DOÑA ANA COUNTY PRECINCT 050
637,013-DOÑA ANA COUNTY PRECINCT 051
638,013-DOÑA ANA COUNTY PRECINCT 052
639,013-DOÑA ANA COUNTY PRECINCT 053
640,013-DOÑA ANA COUNTY PRECINCT 054
641,013-DOÑA ANA COUNTY PRECINCT 055
642,013-DOÑA ANA COUNTY PRECINCT 056
643,013-DOÑA ANA COUNTY PRECINCT 057
644,013-DOÑA ANA COUNTY PRECINCT 058
645,013-DOÑA ANA COUNTY PRECINCT 059
646,013-DOÑA ANA COUNTY PRECINCT 060
647,013-DOÑA ANA COUNTY PRECINCT 061
648,013-DOÑA ANA COUNTY PRECINCT 062
649,013-DOÑA ANA COUNTY PRECINCT 063
650,013-DOÑA ANA COUNTY PRECINCT 064
651,013-DOÑA ANA COUNTY PRECINCT 065
652,013-DOÑA ANA COUNTY PRECINCT 066
653,013-DOÑA ANA COUNTY PRECINCT 067
654,013-DOÑA ANA COUNTY PRECINCT 068
655,013-DOÑA ANA COUNTY PRECINCT 069
656,013-DOÑA ANA COUNTY PRECINCT 070
657,013-DOÑA ANA COUNTY PRECINCT 071
658,013-DOÑA ANA COUNTY PRECINCT 072
659,013-DOÑA ANA COUNTY PRECINCT 073
660,013-DOÑA ANA COUNTY PRECINCT 074
661,013-DOÑA ANA COUNTY PRECINCT 075
662,013-DOÑA ANA COUNTY PRECINCT 076
663,013-DOÑA ANA COUNTY PRECINCT 077
664,013-DOÑA ANA COUNTY PRECINCT 078
665,013-DOÑA ANA COUNTY PRECINCT 079
666,013-DOÑA ANA COUNTY PRECINCT 080
667,013-DOÑA ANA COUNTY PRECINCT 081
668,013-DOÑA ANA COUNTY PRECINCT 082
669,013-DOÑA ANA COUNTY PRECINCT 083
670,013-DOÑA ANA COUNTY PRECINCT 084
671,013-DOÑA ANA COUNTY PRECINCT 085
672,013-DOÑA ANA COUNTY PRECINCT 086
673,013-DOÑA ANA COUNTY PRECINCT 087
674,013-DOÑA ANA COUNTY PRECINCT 088
675,013-DOÑA ANA COUNTY PRECINCT 089
676,013-DOÑA ANA COUNTY PRECINCT 090
677,013-DOÑA ANA COUNTY PRECINCT 091
678,013-DOÑA ANA COUNTY PRECINCT 092
679,013-DOÑA ANA COUNTY PRECINCT 093
680,013-DOÑA ANA COUNTY PRECINCT 094
681,013-DOÑA ANA COUNTY PRECINCT 095
682,013-DOÑA ANA COUNTY PRECINCT 096
683,013-DOÑA ANA COUNTY PRECINCT 097
684,013-DOÑA ANA COUNTY PRECINCT 098
685,013-DOÑA ANA COUNTY PRECINCT 099
686,013-DOÑA ANA COUNTY PRECINCT 100
687,013-DOÑA ANA COUNTY PRECINCT 101
688,013-DOÑA ANA COUNTY PRECINCT 102
689,013-DOÑA ANA COUNTY PRECINCT 103
690,013-DOÑA ANA COUNTY PRECINCT 104
691,013-DOÑA ANA COUNTY PRECINCT 105
692,013-DOÑA ANA COUNTY PRECINCT 106
693,013-DOÑA ANA COUNTY PRECINCT 107
694,013-DOÑA ANA COUNTY PRECINCT 108
695,013-DOÑA ANA COUNTY PRECINCT 109
696,013-DOÑA ANA COUNTY PRECINCT 110
697,013-DOÑA ANA COUNTY PRECINCT 111
698,013-DOÑA ANA COUNTY PRECINCT 112
699,013-DOÑA ANA COUNTY PRECINCT 113
700,013-DOÑA ANA COUNTY PRECINCT 114
701,013-DOÑA ANA COUNTY PRECINCT 115
702,013-DOÑA ANA COUNTY PRECINCT 116
703,013-DOÑA ANA COUNTY PRECINCT 117
704,013-DOÑA ANA COUNTY PRECINCT 118
705,013-DOÑA ANA COUNTY PRECINCT 119
706,013-DOÑA ANA COUNTY PRECINCT 120
790,023-HIDALGO COUNTY PRECINCT 001
791,023-HIDALGO COUNTY PRECINCT 002
792,023-HIDALGO COUNTY PRECINCT 003
793,023-HIDALGO COUNTY PRECINCT 004
794,023-HIDALGO COUNTY PRECINCT 005
795,023-HIDALGO COUNTY PRECINCT 006
1161,043-SANODVAL COUNTY PRECINCT 076
